[Instrument settings]
Instrument type = "CryoFMR-40"
DAQ serial number = "01EA6AD6"
SW version = "2.6.0.3"
AC Output = "0"
AC Field Frequency = "490.000000"
Hall.Sensor Range = "0"
Hall.ADC # Samples = "10"
Hall.ADC Rate = "100.000000"
FMR.RF Diode  = "RF Detector"
FMR.Coupling = "0"
FMR.Notch = "1"
FMR.Notch x2 = "1"
FMR.Bandpass = "1"
Signal.Signal fitting = "Derivated Lorentz."
SweepMode = "Field"
RF.Lvl.Comp = "FALSE"

[QD]
Instrument Type = "DynaCool"
IP Address = "127.0.0.1"
Drive.Mode = "Driven"
Drive.Approach = "Linear"
Drive.Rate = "500.000000"
Correction name = "No Correction"
[Sweep settings]
Frequency(GHz)	Field Saturation (Oe)	Field Start (Oe)	Field Stop (Oe)	Field Step (Oe)	Input gain	Output gain	Modul. Ampl.	FMR ADC # of Samples	FMR ADC Rate	Temp
6	10000	9000	0	10	x100	x100	0.3	100	1000	300
8	10000	9000	0	10	x100	x100	0.3	100	1000	300
10	10000	9000	0	10	x100	x100	0.3	100	1000	300
12	10000	9000	0	10	x100	x100	0.3	100	1000	300
14	10000	9000	0	10	x100	x100	0.3	100	1000	300
16	10000	9000	0	10	x100	x100	0.3	100	1000	300
18	10000	9000	0	10	x100	x100	0.3	100	1000	300
20	10000	9000	0	10	x100	x100	0.3	100	1000	300
22	10000	9000	0	10	x100	x100	0.3	100	1000	300

[Data]
Frequency	Field	I	Q	IQ	IQ fit	Aux	Temp
6.000000	9000.440430	0.028821	0.024265	-0.002925	-0.000008	10.467086	300.557831
6.000000	8990.201172	0.031080	0.021871	-0.002326	-0.000009	10.467066	300.561798
6.000000	8980.346680	0.034874	0.017765	-0.001365	-0.000009	10.466987	300.567749
6.000000	8970.257812	0.035295	0.022161	0.001370	-0.000009	10.466938	300.571533
6.000000	8960.262695	0.029370	0.021730	-0.003844	-0.000009	10.466879	300.574707
6.000000	8950.255859	0.032632	0.024673	0.000490	-0.000009	10.466938	300.576691
6.000000	8940.284180	0.032382	0.025287	0.000611	-0.000009	10.466925	300.580292
6.000000	8930.266602	0.028138	0.020083	-0.005778	-0.000009	10.466836	300.583069
6.000000	8920.155273	0.031110	0.023864	-0.001232	-0.000009	10.466961	300.584045
6.000000	8910.207031	0.029394	0.023857	-0.002680	-0.000009	10.466777	300.587433
6.000000	8900.165039	0.028039	0.026408	-0.002437	-0.000009	10.466711	300.589020
6.000000	8890.194336	0.031544	0.025646	0.000093	-0.000009	10.466773	300.591400
6.000000	8880.233398	0.024626	0.019554	-0.009023	-0.000009	10.466619	300.594788
6.000000	8870.273437	0.028746	0.025951	-0.002095	-0.000009	10.466629	300.596191
6.000000	8860.291016	0.028532	0.021917	-0.004463	-0.000009	10.466576	300.596771
6.000000	8850.260742	0.030853	0.026563	0.000004	-0.000009	10.466629	300.599548
6.000000	8840.311523	0.027020	0.022424	-0.005463	-0.000009	10.466698	300.599945
